text,aspect,label
improve your customer service and product availability,Customer service,0
functionality is great almost as in desktop version but mobile version needs a lot of improvement esp the speed,mobile version,0
but it keeps starting from zoomed in and then slowly zooming out as the music plays,zoomed,0
hey marilyn thanks for your answer the  type  certification is a document that can be shared with external parties for security assessment do you have a copy of the report we could explore,Security,1
delanovc zoom airtable notionhq calendly apple x lulu would be the most interesting if they ever expand their,apple,1
love the app but missing some features likes keeping a backlog of tasks,tasks,2
and secondly have some customer care assistance,customer care,0
and it says that while this is rendering you can duplicate the project in another dimension,rendering,1
this app is not,app,0
 notion is an equal opportunity organization and will not allow discrimination based upon age ethnicity ancestry gender national origin disability race size religion sexual orientation socioeconomic background or any other status prohibited by applicable law,organization,2
kashvireads notionhq  tip do not listen to anyone it is your thing kashvi you know it better than anyone never,listen,0
tried every which way to attach images in ipad pro,iPad,1
app has all sorts of random bugs on ipad keeps cancelling touches and actions the digital keyboard slows down so much that you effectively cannot type anymore,sorts,0
hi i added music to my video but once i adjusted the volume i can not hear it,volume,0
however you can cancel the plan to not get charged again,charged,0
super easy and fun to set up a simple database for my gardening ideas and notes,database,2
the charges you have added and the service quality is ruined,service quality,0
please return  leftright swipe to complete the task and prioritize task,swipe,1
some items of orders not delivered is not attended fast,delivered,0
a no symbol appears when i try to drag an image to it,drag,0
literally  to load the app and then another  syncing,app,0
i have got a similar database in my notion,database,2
could you check how many days left from my subs plan,plan?,1
appreciate you for sharing your ideas with us agree with your point about how it could be fantastic and beneficial for you to set up when copypasting text automatically recognizes x as inline text and xx as a new maths block,text,0
how do i know that you got my cancelation,cancel,0
notions is down all my notes is gone,notes,0
i downloaded the app twice and it did not start ,app,0
i think it is somewhat hidden under the layers,layers,1
great app but i wish there is an offline mode,"app,",0
it is all about task and project management,project,1
splash screen takes forever,Splash screen,0
so if you use both gmail and googlemail though th,gmail,1
you can save as many projects as you want the storage limit is for files you upload,save,1
ideal tool to plan organize and monitor my big re projects,big,1
it is loading fine,load,0
the edits does not show up after rendering,render,0
very needed features  view dependencies on mobile  create dependencies on mobile  custom fields in my tasks view  to sort tasks by two different fields at the same time  folder trees for projects  a task on top of another will make it a sub task  project wide notifications for anything done by other team members address the above and it’s  stars,project wide notifications,1
during its last upgrade this app deleted huge amounts of family data i had spent hours recording,recording,1
have raised complaint,Have raised complaint.,0
i can no longer swipe tasks complete in list view,list,1
actually there are many databases that will not load now,load,0
not recieving deliveries as ordered many of the times we need to follow up and escalate the missing orders there is no communication for missing deliveries,deliveries,0
cannot be configured in spanish,configured,0
add a new scene first and then add the  video to it,scene,1
when will russian language app translation be available for androidios,language,0
had the app installed for a few days only,app,0
at this time some features like importing resizing images draggingreordering columns are not available on our mobile apps,images,1
when i do to add text,text,1
i am unable to find the scroll bar between the scenes,scenes,1
is there any way to know before hand the exact timeline of a text so it is easier to simply adjust the duration of the videos or pictures dragged accordingly while dropping,text,1
can i refund the deducted money from my account,account?,1
the app is jampacked with features,app,2
today also vydid not get milk,milk,0
i decided to keep it where it is but would still like to know why that workspace was marked as private,workspace,1
a format for writing interactive notes with notionhq,notes,2
fruit bag was left on floor outside door instead of handle,Fruit bag,0
please improve on your messages or contacts,messages,0
top notch project manager,project,1
the teams told me that they are waiting to release a bug fix,bug,1
spotify by,Spotify,0
my question is that when we download our videodo it shows watermark,download,1
that means i can use a premium template and then export it without payment,template,0
but do you think you we can have a design with better user experience for offline you,offline,0
i love asana on web,web,2
i love being able to customize individual pages notes organization and honestly that is the killer feature of this app,app.,2
it’s very good solution but price in us dollar here in brazil,price,2
this app won’t let you sign in and use the app unless you allow them to have access to your contacts  ,sign in,0
and i will change to lifetime plan,lifetime,1
but i clearly paid for unlimited,paid,2
you can see from the attached screen shot,screen,1
timely delivery and quick response to queries,delivery,2
istock clips are images or videos,istock,1
many vegetables should be available even around   should include curry leaves as free for particular bill amount also add many grocery branded,curry leaves,0
when i start to create the video the images are zoomed without my wanting it,images,1
in the crop window you will be able to adjust the cropped frame,cropped,1
ar times you do not have any items and we have to buy iony a item of rs  and you charge  for delivery,delivery.,0
 do you mind sharing or anyplace,sharing,1
asana for android is a very rudimentary app unparalleled to the the old good asana webapp,webapp,0
shortages are a regular feature of the delivery,regular feature,0
educate and train delivery partner manners and good communication skills other wise users will move to other brands,delivery partner,0
still why it is trying to charge my card,charge,0
you can also visit and subscribe to our youtube,YouTube,1
will the russian language be,Russian,1
question  while creating a task how to i mention a section where it has to go,task,1
when i download the app i can not open it,app,0
your subscription has been cancelled card details have been removed and your account has been deleted effective immediately  you may logout to complete the process,account,1
notion is a great service,Notion,2
its basically the cost of an unlimited yearly plan but you get it for life and never have to pay a single penny again,plan,0
offline database for windows and android apps,Windows,0
please compare vegetables price with market price,market price,0
felt really overwhelmed today have loads of ideas for notionhq templates to help others i have made a plan to star,templates,1
a consistent frustration is that the only truly optimized workflow is through the web browser,workflow,1
 wrote please visit the stripe dashboard to update your billing information,billing,1
how to bring image front of all objects in scene,scene,1
there is no response for customer grievences,customer grievences,0
delivery at time hassle free order at night and get it early morning feels so good,"hassle free,",2
i use it every day and it has become my main help to organize my work,every day,1
once i got used to working with blocks and figured out the apps system of organizing data works i was able to start playing with the app successfully,app,2
please note that the notion api is in private beta,beta,2
i have used notion on my desktop so i wanted to try it out on my iphone however the app already does not open on my first time downloading it,app,0
sure its a bit expensive but the benefit is you pay only once  never again,expensive,0
too slow,Too,0
airtable wants to copy my contacts list as a condition to use the application during sign up,list,1
